log_frequency_per_million,word,transcription,part_of_speech
0.3,acclaim,@kl1m,V
1.18,accommodate,@kQm@d1t,V
1.53,accommodation,@kQm@d1SH,N
0.6,accompaniment,@kVmp@nIm@nt,N
1.68,accompany,@kVmp@nI,V
0.48,accomplice,@kVmplIs,N
1.18,accomplish,@kVmplIS,V
0.6,accomplished,@kVmplISt,A
0.7,accomplishment,@kVmplISm@nt,N
0.78,accord,@k$d,N
2.05,accord,@k$d,V
0.85,accordance,@k$d@ns,N
1.15,accordingly,@k$dINlI,ADV
0.3,accost,@kQst,V
2.12,account,@k6nt,N
1.53,account,@k6nt,V
0.7,accountable,@k6nt@bP,A
0.48,accountancy,@k6nt@nsI,N
1.04,accountant,@k6nt@nt,N
0.6,accrue,@kru,V
1.2,accumulate,@kjumjUl1t,V
0.85,accumulation,@kjumjUl1SH,N
1.11,accuracy,{kjUr@sI,N
1.32,accurate,{kjUr@t,A
1.08,accurately,{kjUr@tlI,ADV
1.08,accusation,{kjuz1SH,N
1.56,accuse,@kjuz,V
0.3,accused,@kjuzd,A
0.6,accused,@kjuzd,N
0.3,accuser,@kjuz@R,N
1.3,accustomed,@kVst@md,A
0.7,ace,1s,N
0.7,ache,1k,N
1.08,ache,1k,V
2.07,achieve,@Jiv,V
1.6,achievement,@Jivm@nt,N
0.48,Achilles,@kIliz,N
1.32,acid,{sId,N
0.78,acid,{sId,A
1.53,acknowledge,@knQlI_,V
0.7,acknowledgement,@knQlI_m@nt,N
0.3,acorn,1k$n,N
1.23,acquaintance,@kw1nt@ns,N
0.3,acquiesce,{kwIEs,V
0.3,acquiescence,{kwIEsHs,N
1.76,acquire,@kw2@R,V
1.08,acquisition,{kwIzISH,N
0.48,acquit,@kwIt,V
1.58,acre,1k@R,N
0.3,acreage,1k@rI_,N
0.3,acrid,{krId,A
1.7,across,@krQs,ADV
2.36,across,@krQs,FUNC
2.19,act,{kt,N
2.09,act,{kt,V
1.2,acting,{ktIN,N
2.36,action,{kSH,N
0.7,activate,{ktIv1t,V
1.76,active,{ktIv,A
1,actively,{ktIvlI,ADV
1.18,activist,{ktIvIst,N
2.2,activity,{ktIv@tI,N
1.92,actor,{kt@R,N
1.3,actress,{ktrIs,N
1.78,actual,{kJ9l,A
0.3,actuality,{kJU{l@tI,N
2.37,actually,{kJ9lI,ADV
1.2,acute,@kjut,A
0.7,acutely,@kjutlI,ADV
0.95,ad,{d,N
1.6,Adam,{d@m,N
0.48,adamant,{d@m@nt,A
1.42,adapt,@d{pt,V
0.48,adaptable,@d{pt@bP,A
1,adaptation,{d{pt1SH,N
2.37,add,{d,V
0.6,addict,{dIkt,N
0.48,addict,@dIkt,V
0.48,addiction,@dIkSH,N
1.81,addition,@dISH,N
1.56,additional,@dIS@nP,A
0.3,additionally,@dISH@lI,ADV
0.7,additive,{dItIv,N
1.69,address,@drEs,N
1.54,address,@drEs,V
0.48,adept,{dEpt,A
1.48,adequate,{dIkw@t,A
0.9,adequately,{dIkw@tlI,ADV
0.7,adhere,@dh7R,V
0.3,adherence,@dh7r@ns,N
0.48,adherent,@dh7r@nt,N
0.3,adhesive,@dhisIv,N
0.3,adhesive,@dhisIv,A
0.7,adjacent,@_1s@nt,A
0.6,adjective,{_IktIv,N
0.3,adjoin,@_4n,V
0.7,adjoining,@_4nIN,A
0.3,adjourn,@_3n,V
0.3,adjunct,{_VNkt,N
1.42,adjust,@_Vst,V
0.3,adjustable,@_Vst@bP,A
1.11,adjustment,@_Vstm@nt,N
1.08,administer,@dmInIst@R,V
1.67,administration,@dmInIstr1SH,N
1.26,administrative,@dmInIstr@tIv,A
1.08,administrator,@dmInIstr1t@R,N
1.04,admirable,{dm@r@bP,A
0.48,admirably,{dm@r@blI,ADV
0.78,admiral,{dm@r@l,N
0.3,admiralty,{dm@r@ltI,N
1.2,admiration,{dm@r1SH,N
1.64,admire,@dm2@R,V
0.9,admirer,@dm2@r@R,N
0.48,admiring,@dm2@rIN,A
1.28,admission,@dmISH,N
1.99,admit,@dmIt,V
0.48,admitted,@dmItId,A
0.9,admittedly,@dmItIdlI,ADV
0.3,admonish,@dmQnIS,V
0.3,admonition,{dm5nISH,N
0.3,ado,@du,N
1,adolescence,{d5lEsHs,N
1,adolescent,{d5lEsHt,N
0.85,adolescent,{d5lEsHt,A
1.76,adopt,@dQpt,V
1,adoption,@dQpSH,N
0.3,adorable,@d$r@bP,A
0.48,adoration,{d@r1SH,N
1.08,adore,@d$R,V
0.6,adorn,@d$n,V
0.3,adornment,@d$nm@nt,N
0.3,adrenalin,@drEn@lIn,N
1.97,adult,{dVlt,N
1.57,adult,{dVlt,A
0.78,adultery,@dVlt@rI,N
0.48,adulthood,{dVlthUd,N
1.72,advance,@dv#ns,N
1.46,advance,@dv#ns,V
1.63,advanced,@dv#nst,A
0.6,advancement,@dv#nsm@nt,N
2,advantage,@dv#ntI_,N
0.48,advantageous,{dv@nt1_@s,A
0.7,advent,{dv@nt,N
1.34,adventure,@dvEnJ@R,N
0.48,adventurer,@dvEnJ@r@R,N
0.6,adventurous,@dvEnJ@r@s,A
0.6,adversary,{dv@s@rI,N
0.85,adverse,{dv3s,A
0.3,adversely,{dv3slI,ADV
0.3,advert,{dv3t,N
1.18,advertise,{dv@t2z,V
1.28,advertisement,@dv3tIsm@nt,N
0.85,advertiser,{dv@t2z@R,N
1.46,advertising,{dv@t2sIN,N
1.86,advice,@dv2s,N
0.6,advisable,@dv2z@bP,A
1.63,advise,@dv2z,V
1.3,adviser,@dv2z@R,N
1,advisory,@dv2z@rI,A
0.3,advocacy,{dv@k@sI,N
0.95,advocate,{dv@k@t,N
1.15,advocate,{dv@k1t,V
0.48,aeon,i@n,N
0.3,aerial,8r7l,N
0.48,aerial,8r7l,A
1.08,aeroplane,8r@pl1n,N
0.3,aerosol,8r5sQl,N
0.48,aerospace,8r5sp1s,N
1.15,aesthetic,isTEtIk,A
0.48,aesthetically,isTEtIk@lI,ADV
0.48,aesthetics,isTEtIks,N
0.48,afar,@f#R,ADV
1.97,affair,@f8R,N
1.87,affect,@fEkt,V
0.3,affectation,{fEkt1SH,N
0.95,affected,@fEktId,A
1.42,affection,@fEkSH,N
0.9,affectionate,@fEkSn@t,A
0.48,affectionately,@fEkSn@tlI,ADV
0.78,affiliate,@fIlI1t,V
0.6,affiliation,@fIlI1SH,N
0.3,affinity,@fIn@tI,N
0.78,affirm,@f3m,V
0.48,affirmation,{f@m1SH,N
0.78,afflict,@flIkt,V
0.3,affliction,@flIkSH,N
0.9,affluence,{fl9ns,N
0.85,affluent,{fl9nt,A
0.3,affluent,{flU@nt,N
1.79,afford,@f$d,V
0.3,afforestation,{fQrIst1SH,N
0.3,affront,@frVnt,N
0.3,affront,@frVnt,V
0.3,Afghan,{fg{n,A
0.78,Afghanistan,{fg{nIst{n,N
0.3,afield,@fild,ADV
0.3,afloat,@fl5t,ADV
0.3,afoot,@fUt,A
2.05,afraid,@fr1d,A
0.48,afresh,@frES,ADV
2.07,Africa,{frIk@,N
1.34,African,{frIk@n,N
1.78,African,{frIk@n,A
0.6,Afrikaans,{frIk#ns,N
0.3,Afrikaner,{frIk#n@R,N
0.85,Afrikaner,{frIk#n@R,A
0.3,Afro,{fr5,N
2.88,after,#ft@R,FUNC
2.59,after,#ft@R,FUNC
0.3,afterlife,#ft@l2f,N
0.6,aftermath,#ft@m{T,N
2.04,afternoon,#ft@nun,N
1.2,afternoon,#ft@nun,A
0.48,afterthought,#ft@T$t,N
0.85,afterward,#ft@w@d,ADV
1.69,afterwards,#ft@w@dz,ADV
2.89,again,@gEn,ADV
2.77,against,@gEnst,FUNC
0.3,agate,{g@t,N
2.46,age,1_,N
0.9,age,1_,V
0.85,aged,1_Id,A
1.52,aged,1_d,A
1.66,agency,1_@nsI,N
0.95,agenda,@_End@,N
1.89,agent,1_@nt,N
0.3,age-old,1_5ld,A
0.6,aggravate,{gr@v1t,V
0.3,aggregate,{grIg@t,N
1.18,aggression,@grESH,N
1.32,aggressive,@grEsIv,A
0.6,aggressively,@grEsIvlI,ADV
0.3,aggressiveness,@grEsIvnIs,N
0.3,aggressor,@grEs@R,N
0.3,aghast,@g#st,A
0.3,agile,{_2l,A
0.3,agility,@_Il@tI,N
0.78,agitated,{_It1tId,A
0.85,agitation,{_It1SH,N
2.35,ago,@g5,ADV
0.3,agonize,{g@n2z,V
0.3,agonized,{g@n2zd,A
0.78,agonizing,{g@n2zIN,A
1.18,agony,{g@nI,N
0.48,agrarian,@gr8r7n,A
2.28,agree,@gri,V
1.04,agreeable,@gr7bP,A
0.48,agreeably,@gr7blI,ADV
1.85,agreement,@grim@nt,N
1.62,agricultural,{grIkVlJ@r@l,A
1.6,agriculture,{grIkVlJ@R,N
1.98,ahead,@hEd,ADV
0.6,ahead,@hEd,A
1.78,aid,1d,N
0.95,aid,1d,V
1,aide,1d,N
1.04,ail,1l,V
0.6,ailment,1lm@nt,N
1.73,aim,1m,N
1.54,aim,1m,V
0.48,aimless,1mlIs,A
0.48,aimlessly,1mlIslI,ADV
2.4,air,8R,N
0.85,airborne,8b$n,A
0.3,air-conditioned,8k@ndISHd,A
0.3,air-conditioning,8k@ndIS@nIN,N
1.65,aircraft,8kr#ft,N
0.9,airfield,8fild,N
1.28,airline,8l2n,N
0.3,airliner,8l2n@R,N
0.3,airman,8m@n,N
0.78,airplane,8pl1n,N
1.78,airport,8p$t,N
0.3,airs,8z,N
0.3,airstrip,8strIp,N
0.85,airway,8w1,N
0.48,airy,8rI,A
1,aisle,2l,N
0.6,akin,@kIn,A
1.18,Al,{l,N
1.34,alarm,@l#m,N
1.2,alarm,@l#m,V
1,alarming,@l#mIN,A
0.78,albeit,$lbiIt,FUNC
0.85,album,{lb@m,N
0.3,alchemist,{lk@mIst,N
1.28,alcohol,{lk@hQl,N
0.85,alcoholic,{lk@hQlIk,N
0.6,alcoholic,{lk@hQlIk,A
0.3,alcoholism,{lk@hQlIz@m,N
0.48,alcove,{lk5v,N
0.3,alder,$ld@R,N
0.3,alderman,$ld@m@n,N
0.6,ale,1l,N
0.6,alert,@l3t,N
0.95,alert,@l3t,V
1.04,alert,@l3t,A
0.3,alertness,@l3tnIs,N
0.3,A-level,1lEvP,N
0.48,alga,{lg@,N
0.3,algebra,{l_Ibr@,N
0.85,Algeria,{l_7r7,N
0.3,Algerian,{l_7r7n,A
0.6,alibi,{lIb2,N
1.2,Alice,{lIs,N
0.7,alien,1lj@n,N
1.2,alien,1lj@n,A
0.9,alienate,1lj@n1t,V
0.9,alienation,1lj@n1SH,N
0.48,alight,@l2t,V
0.48,alight,@l2t,A
0.3,align,@l2n,V
0.48,alignment,@l2nm@nt,N
0.9,alike,@l2k,A
1.04,alike,@l2k,ADV
1.8,alive,@l2v,A
2.16,all,$l,ADV
3.54,all,$l,FUNC
0.78,Allah,{l@,N
0.3,allay,@l1,V
0.9,allegation,{lIg1SH,N
1.23,allege,@lE_,V
0.7,allegedly,@lE_IdlI,ADV
0.9,allegiance,@li_@ns,N
0.48,allergic,@l3_Ik,A
0.6,allergy,{l@_I,N
0.7,alleviate,@livI1t,V
1.08,alley,{lI,N
1.43,alliance,@l2@ns,N
1.38,allied,{l2d,A
0.3,alligator,{lIg1t@R,N
0.9,allocate,{l5k1t,V
0.85,allocation,{l5k1SH,N
0.7,allot,@lQt,V
0.3,allotment,@lQtm@nt,N
0.48,all-out,$l6t,A
2.42,allow,@l6,V
1.48,allowance,@l6@ns,N
0.3,alloy,{l4,N
0.78,all right,$lr2t,A
0.3,all-time,$lt2m,A
0.3,allusion,@luZH,N
1.4,ally,{l2,N
0.7,ally,@l2,V
0.48,almighty,$lm2tI,A
0.3,Almighty,$lm2tI,N
0.6,almond,#m@nd,N
2.67,almost,$lm5st,ADV
0.48,aloft,@lQft,ADV
2.29,alone,@l5n,A
1.08,alone,@l5n,ADV
2.03,along,@lQN,ADV
2.27,along,@lQN,FUNC
0.95,alongside,@lQNs2d,ADV
1,alongside,@lQNs2d,FUNC
0.48,aloof,@luf,A
1.26,aloud,@l6d,ADV
0.6,alp,{lp,N
0.48,alpha,{lf@,N
0.48,alphabet,{lf@bEt,N
0.48,alpine,{lp2n,A
2.56,already,$lrEdI,ADV
1.15,alright,$lr2t,ADV
2.96,also,$ls5,ADV
1.34,altar,$lt@R,N
1.59,alter,$lt@R,V
0.85,alteration,$lt@r1SH,N
0.85,alternate,$lt@n1t,V
0.48,alternate,$lt3n@t,A
0.6,alternately,$lt3n@tlI,ADV
1.68,alternative,$lt3n@tIv,N
1.52,alternative,$lt3n@tIv,A
1,alternatively,$lt3n@tIvlI,ADV
2.48,although,$lD5,FUNC
0.7,altitude,{ltItjud,N
0.3,alto,{lt5,N
1.67,altogether,$lt@gED@R,ADV
0.3,altruistic,{ltrUIstIk,A
0.85,aluminium,{ljUmInj@m,N
0.48,aluminum,@lumIn@m,N
2.82,always,$lw1z,ADV
0.3,amalgam,@m{lg@m,N
0.3,amalgamate,@m{lg@m1t,V
0.3,amalgamation,@m{lg@m1SH,N
0.3,amass,@m{s,V
0.95,amateur,{m@t@R,N
1.04,amateur,{m@t@R,A
1.23,amaze,@m1z,V
1,amazement,@m1zm@nt,N
1.34,amazing,@m1zIN,A
0.6,amazingly,@m1zINlI,ADV
0.7,amazon,{m@z@n,N
1.2,ambassador,{mb{s@d@R,N
0.48,amber,{mb@R,N
0.85,ambiguity,{mbIgjuItI,N
0.85,ambiguous,{mbIgj9s,A
1.38,ambition,{mbISH,N
1.2,ambitious,{mbIS@s,A
0.3,ambivalence,{mbIv1l@ns,N
0.6,ambivalent,{mbIv@l@nt,A
0.3,amble,{mbP,V
0.95,ambulance,{mbjUl@ns,N
0.6,ambush,{mbUS,N
0.48,ambush,{mbUS,V
0.48,amenable,@min@bP,A
0.7,amend,@mEnd,V
0.95,amendment,@mEndm@nt,N
0.9,amenity,@minItI,N
2.36,American,@mErIk@n,A
1.86,American,@mErIk@n,N
0.78,amiable,1mj@bP,A
0.3,amiably,1mj@blI,ADV
1.08,amid,@mId,FUNC
0.6,amidst,@mIdst,FUNC
0.78,amity,{m@tI,N
0.48,ammonia,@m5nj@,N
0.9,ammunition,{mjUnISH,N
0.48,amnesty,{mn@stI,N
2.45,among,@mVN,FUNC
1.46,amongst,@mVNst,FUNC
0.3,amorous,{m@r@s,A
0.3,amorphous,@m$f@s,A
2.19,amount,@m6nt,N
0.3,amp,{mp,N
0.48,amphibian,{mfIb7n,N
0.3,amphibious,{mfIb7s,A
1.04,ample,{mpP,A
0.7,amplifier,{mplIf2@R,N
0.6,amplify,{mplIf2,V
0.3,amply,{mplI,ADV
0.3,amputate,{mpjUt1t,V
0.3,amulet,{mjUlIt,N
1.42,amuse,@mjuz,V
1.04,amusement,@mjuzm@nt,N
1.08,amusing,@muzIN,A
0.48,anaemia,@nimj@,N
0.3,anaemic,@nimIk,A
0.48,anaesthetic,{nIsTEtIk,N
0.3,anal,1nP,A
0.48,analogous,@n{l@g@s,A
0.48,analogue,{n@lQg,N
0.85,analogy,@n{l@_I,N
1.34,analyse,{n@l2z,V
1.82,analysis,@n{l@sIs,N
0.95,analyst,{n@lIst,N
0.48,analytic,{n@lItIk,A
0.7,analytical,{n@lItIkP,A
0.3,anarchic,{n#kIk,A
0.48,anarchism,{n@kIz@m,N
1.11,anarchist,{n@kIst,N
0.6,anarchy,{n@kI,N
0.3,anathema,@n{T@m@,N
0.6,anatomical,{n@tQmIkP,A
0.9,anatomy,@n{t@mI,N
1.43,ancestor,{nsEst@R,N
0.7,ancestral,{nsEstr@l,A
0.48,ancestry,{nsEstrI,N
0.78,anchor,{Nk@R,N
0.7,anchor,{Nk@R,V
0.3,anchovy,{nJ@vI,N
1.91,ancient,1nS@nt,A
0.3,ancient,1nS@nt,N
0.3,ancillary,{nsIl@rI,A
4.46,and,{nd,FUNC
0.7,anecdote,{nIkd5t,N
0.3,anew,@nju,ADV
1.34,angel,1n_@l,N
0.3,angelic,{n_ElIk,A
0.78,angelica,{n_ElIk@,N
1.72,anger,{Ng@R,N
0.9,anger,{Ng@R,V
1.51,angle,{NgP,N
0.48,angle,{NgP,V
1.42,angler,{Ngl@R,N
0.78,Anglican,{NglIk@n,A
0.3,Anglican,{NglIk@n,N
0.85,angling,{NglIN,N
0.3,Anglo-American,{Ngl5@mErIk@n,A
0.6,Anglo-Saxon,{Ngl5s{ks@n,A
0.7,Angola,{Ng5l@,N
1.04,angrily,{ngr@lI,ADV
1.83,angry,{NgrI,A
0.95,anguish,{NgwIS,N
0.3,anguished,{NgwISt,A
0.78,angular,{NgjUl@R,A
2.42,animal,{nImP,N
0.78,animate,{nIm1t,V
0.3,animation,{nIm1SH,N
0.3,animosity,{nImQs@tI,N
1.3,ankle,{NkP,N
1.11,anna,{n@,N
0.3,annex,@nEks,V
0.3,annexe,{nEks,N
0.3,annihilate,@n2@l1t,V
0.48,annihilation,@n2@l1SH,N
0.78,anniversary,{nIv3s@rI,N
1.87,announce,@n6ns,V
1.18,announcement,@n6nsm@nt,N
1.26,annoy,@n4,V
0.78,annoyance,@n4@ns,N
0.7,annoying,@n4IN,A
0.3,annual,{nj9l,N
1.61,annual,{nj9l,A
0.9,annually,{nj9lI,ADV
0.6,anoint,@n4nt,V
0.3,anomaly,@nQm@lI,N
0.48,anonymity,{n@nIm@tI,N
1.11,anonymous,@nQnIm@s,A
2.85,another,@nVD@R,FUNC
2.12,answer,#ns@R,N
2.23,answer,#ns@R,V
1.08,ant,{nt,N
0.7,antagonism,{nt{g@nIz@m,N
0.3,antagonistic,{nt{g@nIstIk,A
0.7,antelope,{ntIl5p,N
0.3,antenna,{ntEn@,N
0.48,antenna,{ntEn@,N
0.48,anthem,{nT@m,N
0.48,anthology,{nTQl@_I,N
0.7,anthropologist,{nTr@pQl@_Ist,N
0.48,anthropology,{nTr@pQl@_I,N
0.3,anti-aircraft,{ntI8kr#ft,A
0.48,antibiotic,{ntIb2QtIk,N
1.32,anticipate,{ntIsIp1t,V
0.85,anticipation,{ntIsIp1SH,N
0.3,anticlimax,{ntIkl2m{ks,N
0.3,antics,{ntIks,N
0.3,antidote,{ntId5t,N
0.3,antiquated,{ntIkw1tId,A
0.85,antique,{ntik,N
0.95,antique,{ntik,A
0.78,antiquity,{ntIkw@tI,N
0.48,anti-Semitism,{ntIsEmItIz@m,N
0.48,antisocial,{ntIs5SP,A
0.78,antithesis,{ntITIsIs,N
0.3,antler,{ntl@R,N
0.3,anus,1n@s,N
1.62,anxiety,{Nz2@tI,N
1.61,anxious,{NkS@s,A
0.95,anxiously,{NkS@slI,ADV
1.72,any,EnI,ADV
3.1,any,EnI,FUNC
1.8,anybody,EnIbQdI,N
1.2,anyhow,EnIh6,ADV
2.27,anyone,EnIwVn,FUNC
2.59,anything,EnITIN,FUNC
1.2,anything,EnITIN,ADV
2.14,anyway,EnIw1,ADV
1.75,anywhere,EnIw8R,ADV
0.78,apache,@p{S,N
2.04,apart,@p#t,ADV
0.3,apart,@p#t,A
1.11,apartheid,@p#th1t,N
1.66,apartment,@p#tm@nt,N
0.9,apartments,@p#tm@nts,N
0.3,apathetic,{p@TEtIk,A
0.6,apathy,{p@TI,N
1.04,ape,1p,N
0.3,aperture,{p@tj9R,N
0.48,apex,1pEks,N
0.48,apiece,@pis,ADV
0.3,apocalyptic,@pQk@lIptIk,A
0.6,apologetic,@pQl@_EtIk,A
0.48,apologetically,@pQl@_EtIk@lI,ADV
1.26,apologize,@pQl@_2z,V
1.08,apology,@pQl@_I,N
0.6,apostle,@pQsP,N
1,appal,@p$l,V
1.2,appalling,@p$lIN,A
0.3,appallingly,@p$lINlI,ADV
1.08,apparatus,{p@r1t@s,N
1.65,apparent,@p{r@nt,A
1.92,apparently,@p{r@ntlI,ADV
0.3,apparition,{p@rISH,N
1.72,appeal,@pil,N
1.34,appeal,@pil,V
0.6,appealing,@pilIN,A
2.46,appear,@p7R,V
1.79,appearance,@p7r@ns,N
0.48,appearances,@pir@nsIz,N
0.6,appease,@piz,V
0.3,appeasement,@pizm@nt,N
0.3,appendage,@pEndI_,N
0.3,appendicitis,@pEndIs2tIs,N
0.85,appendix,@pEndIks,N
1.36,appetite,{pIt2t,N
0.95,applaud,@pl$d,V
1.08,applause,@pl$z,N
1.48,apple,{pP,N
0.78,appliance,@pl2@ns,N
0.7,applicable,{plIk@bP,A
1,applicant,{plIk@nt,N
1.7,application,{plIk1SH,N
0.6,applied,@pl2d,A
2.07,apply,@pl2,V
1.42,appoint,@p4nt,V
0.9,appointed,@p4NtId,A
1.49,appointment,@p4ntm@nt,N
0.48,appraisal,@pr1zP,N
0.3,appraise,@pr1z,V
0.3,appreciably,@priS@blI,ADV
1.54,appreciate,@priSI1t,V
1.08,appreciation,@priSI1SH,N
0.3,appreciative,@priSj@tIv,A
0.48,apprehend,{prIhEnd,V
0.9,apprehension,{prIhEnSH,N
0.7,apprehensive,{prIhEnsIv,A
0.7,apprentice,@prEntIs,N
0.6,apprenticeship,@prEntISIp,N
1.95,approach,@pr5J,N
1.9,approach,@pr5J,V
0.48,appropriate,@pr5prI1t,V
1.78,appropriate,@pr5pr7t,A
0.7,appropriately,@pr5pr7tlI,ADV
0.3,appropriation,@pr5prI1SH,N
1.45,approval,@pruvP,N
1.65,approve,@pruv,V
0.3,approvingly,@pruvINlI,ADV
0.3,approximate,@prQksIm1t,V
0.48,approximate,@prQksIm@t,A
1.26,approximately,@prQksIm@tlI,ADV
0.3,approximation,@prQksIm1SH,N
0.48,apricot,1prIkQt,N
1.69,April,1pr@l,N
0.95,apron,1pr@n,N
0.3,apse,{ps,N
1.3,apt,{pt,A
0.48,aptitude,{ptItjud,N
0.3,aptly,{ptlI,ADV
0.48,aquatic,@kw{tIk,A
1.85,Arab,{r@b,N
0.78,Arabia,@r1bj@,N
0.3,Arabian,@r1bj@n,A
0.7,Arabic,{r@bIk,N
0.48,arable,{r@bP,A
0.6,arable,{r@bP,N
0.3,arbiter,#bIt@R,N
0.3,arbitrarily,#bItr@r@lI,ADV
1.08,arbitrary,#bItr@rI,A
0.48,arbitration,#bItr1SH,N
0.9,arc,#k,N
0.6,arcade,#k1d,N
1.23,arch,#J,N
0.9,arch,#J,V
0.6,archaeological,#k7lQ_IkP,A
0.6,archaeologist,#kIQl@_Ist,N
0.95,archaeology,#kIQl@_I,N
0.85,archaic,#k1Ik,A
0.9,archbishop,#JbIS@p,N
0.78,archer,#J@R,N
0.3,archetypal,#kIt2pP,A
1.26,architect,#kItEkt,N
0.85,architectural,#kItEkJ@r@l,A
1.28,architecture,#kItEkJ@R,N
0.6,archives,#k2vz,N
0.48,archway,#Jw1,N
0.7,arctic,#ktIk,A
0.3,Arctic,#ktIk,N
0.6,ardent,#d@nt,A
0.3,ardently,#d@ntlI,ADV
0.3,ardour,#d@R,N
0.48,arduous,#dj9s,A
2.54,area,8r7,N
0.85,arena,@rin@,N
0.85,Argentina,#_@ntin@,N
0.6,Argentine,#_@nt2n,A
0.3,Argentine,#_@nt2n,N
0.3,arguable,#gj9bP,A
0.3,arguably,#gj9blI,ADV
2.08,argue,#gju,V
2.11,argument,#gjUm@nt,N
0.3,Argus,#g@s,N
0.3,aria,#r7,N
0.7,arid,{rId,A
1.79,arise,@r2z,V
0.78,aristocracy,{rIstQkr@sI,N
0.6,aristocrat,{rIst@kr{t,N
0.78,aristocratic,{rIst@kr{tIk,A
0.85,arithmetic,@rITm@tIk,N
0.48,ark,#k,N
2.32,arm,#m,N
0.78,arm,#m,V
0.7,armament,#m@m@nt,N
1.15,armchair,#mJ8R,N
1.52,armed,#md,A
0.3,armful,#mfUl,N
0.3,armistice,#mIstIs,N
1,armour,#m@R,N
0.95,armoured,#m@d,A
0.6,armoury,#m@rI,N
0.78,armpit,#mpIt,N
1.62,arms,#mz,N
2.08,army,#mI,N
0.6,aroma,@r5m@,N
0.3,aromatic,{r5m{tIk,A
2.3,around,@r6nd,ADV
2.48,around,@r6nd,FUNC
1.38,arouse,@r6z,V
0.3,arpeggio,#pE_I5,N
1.94,arrange,@r1n_,V
1.79,arrangement,@r1n_m@nt,N
0.95,array,@r1,N
1.2,arrest,@rEst,N
1.53,arrest,@rEst,V
1.6,arrival,@r2vP,N
2.23,arrive,@r2v,V
0.78,arrogance,{r@g@ns,N
