Subject,Word,RT,BaseFrequency,Word.magyar
pp19,tembaarheid,6.34,0,szelíd
pp19,onattentheid,6.61,1.61,tapintatlan
pp19,bebrildheid,6.55,3.61,szemüveges
pp19,aftandsheid,6.85,4.2,rongyos
pp19,geurloosheid,6.52,2.56,szagtalan
pp19,ovaalheid,6.42,5.86,ovális
pp19,erkendheid,6.68,6.52,elismert
pp19,coulantheid,6.56,1.79,elnéző
pp19,labielheid,6.62,4.38,változékony
pp19,visrijkheid,6.58,3.04,halban gazdag
pp19,ondiepheid,6.34,5.66,sekély
pp19,onwelheid,6.46,3.97,indiszponált
pp19,blusbaarheid,6.53,0,tűzoltó
pp19,tilbaarheid,6.52,0,emelhető
pp19,gammelheid,6.64,4.91,rozoga
pp19,koketheid,6.49,4.79,kacér
pp19,ludiekheid,6.6,4.14,játékos
pp19,pipsheid,6.52,3.33,pip
pp19,banaalheid,6.55,5.74,banális
pp19,bezweetheid,6.52,4.75,izzadt
pp19,beschutheid,6.68,4.79,védett
pp19,tactvolheid,6.64,4.75,tapintatos
pp19,jofelheid,6.73,3.33,vidám
pp19,pitloosheid,6.38,0,magtalan
pp19,summierheid,6.61,5.3,rövid
pp19,kalkrijkheid,6.55,3.14,meszes
pp19,onbelastheid,6.58,3.18,terheletlen
pp19,kortafheid,6.49,5.87,kurtán
pp19,saprijkheid,6.58,0,lédús
pp19,beuheid,6.85,5.07,beteg
pp19,dementheid,6.58,3.83,megbolondít
pp19,royaalheid,6.46,6.09,nagylelkű
pp2,riantheid,6.49,4.53,nagylelkű
pp2,beuheid,6.54,5.07,beteg
pp2,ovaalheid,6.18,5.86,ovális
pp2,aftandsheid,6.56,4.2,rongyos
pp2,beschutheid,6.35,4.79,védett
pp2,tactvolheid,6.17,4.75,tapintatos
pp2,tembaarheid,6.26,0,szelíd
pp2,summierheid,6.36,5.3,rövid
pp2,tilbaarheid,6.22,0,emelhető
pp2,pitloosheid,6.34,0,magtalan
pp2,labielheid,6.48,4.38,változékony
pp2,contentheid,6.23,4.5,tartalom
pp2,saprijkheid,6.72,0,lédús
pp2,dementheid,6.23,3.83,megbolondít
pp2,enormheid,6.33,8.42,hatalmas
pp2,bebrildheid,6.48,3.61,szemüveges
pp2,royaalheid,6.37,6.09,nagylelkű
pp2,jofelheid,6.17,3.33,vidám
pp2,blusbaarheid,6.53,0,tűzoltó
pp2,basaalheid,6.15,3.56,alapvető
pp2,kalkrijkheid,6.25,3.14,meszes
pp2,kortafheid,6.22,5.87,kurtán
pp2,ontroerdheid,6.4,5.55,költözött
pp2,lobbigheid,7.34,0,darabos
pp2,banaalheid,6.33,5.74,banális
pp2,erkendheid,6.48,6.52,elismert
pp2,coulantheid,6.31,1.79,elnéző
pp2,geurloosheid,6.25,2.56,szagtalan
pp2,antiekheid,6.04,6.75,antik
pp2,ludiekheid,6.67,4.14,játékos
pp2,ondiepheid,6.1,5.66,sekély
pp2,markantheid,6.26,5.16,meglepő
pp2,pipsheid,6.45,3.33,pip
pp2,bezweetheid,6.25,4.75,izzadt
pp2,onbelastheid,6.46,3.18,terheletlen
pp2,koketheid,6.26,4.79,kacér
pp2,onattentheid,6.3,1.61,tapintatlan
pp2,onwelheid,6.36,3.97,indiszponált
pp2,visrijkheid,6.33,3.04,halban gazdag
pp2,gammelheid,6.36,4.91,rozoga
pp20,riantheid,6.45,4.53,nagylelkű
pp20,beuheid,6.71,5.07,beteg
pp20,ovaalheid,6.71,5.86,ovális
pp20,aftandsheid,6.72,4.2,rongyos
pp20,beschutheid,6.3,4.79,védett
pp20,tactvolheid,6.4,4.75,tapintatos
pp20,tembaarheid,6.46,0,szelíd
pp20,summierheid,6.68,5.3,rövid
pp20,tilbaarheid,6.39,0,emelhető
pp20,pitloosheid,6.73,0,magtalan
pp20,labielheid,6.64,4.38,változékony
pp20,contentheid,6.36,4.5,tartalom
pp20,saprijkheid,6.55,0,lédús
pp20,dementheid,6.47,3.83,megbolondít
pp20,royaalheid,6.59,6.09,nagylelkű
pp20,blusbaarheid,6.62,0,tűzoltó
pp20,basaalheid,6.52,3.56,alapvető
pp20,ontroerdheid,6.62,5.55,költözött
pp20,banaalheid,6.54,5.74,banális
pp20,erkendheid,6.4,6.52,elismert
pp20,geurloosheid,6.87,2.56,szagtalan
pp20,ludiekheid,7.04,4.14,játékos
pp20,ondiepheid,6.95,5.66,sekély
pp20,markantheid,6.66,5.16,meglepő
pp20,bezweetheid,6.54,4.75,izzadt
pp20,onbelastheid,6.68,3.18,terheletlen
pp20,koketheid,6.43,4.79,kacér
pp21,bezweetheid,6.58,4.75,izzadt
pp21,royaalheid,7.02,6.09,nagylelkű
pp21,antiekheid,7.15,6.75,antik
pp21,beschutheid,6.4,4.79,védett
pp21,gammelheid,6.89,4.91,rozoga
pp21,tactvolheid,6.86,4.75,tapintatos
pp21,onattentheid,7.08,1.61,tapintatlan
pp21,tembaarheid,6.9,0,szelíd
pp21,contentheid,6.96,4.5,tartalom
pp21,erkendheid,7.07,6.52,elismert
pp21,riantheid,6.89,4.53,nagylelkű
pp21,beuheid,7.04,5.07,beteg
pp21,dementheid,6.58,3.83,megbolondít
pp21,banaalheid,7.08,5.74,banális
pp21,blusbaarheid,6.84,0,tűzoltó
pp21,basaalheid,6.99,3.56,alapvető
pp21,ludiekheid,7.39,4.14,játékos
pp21,ovaalheid,6.72,5.86,ovális
pp21,visrijkheid,6.58,3.04,halban gazdag
pp21,lobbigheid,6.8,0,darabos
pp21,labielheid,6.72,4.38,változékony
pp21,onbelastheid,7.05,3.18,terheletlen
pp21,pitloosheid,6.65,0,magtalan
pp21,jofelheid,6.43,3.33,vidám
pp21,kalkrijkheid,6.54,3.14,meszes
pp21,coulantheid,6.8,1.79,elnéző
pp21,ontroerdheid,6.81,5.55,költözött
pp21,markantheid,7.03,5.16,meglepő
pp21,summierheid,6.89,5.3,rövid
pp21,enormheid,6.64,8.42,hatalmas
pp21,tilbaarheid,6.8,0,emelhető
pp21,geurloosheid,6.63,2.56,szagtalan
pp21,pipsheid,6.95,3.33,pip
pp22,enormheid,6.34,8.42,hatalmas
pp22,basaalheid,6.51,3.56,alapvető
pp22,markantheid,6.56,5.16,meglepő
pp22,ontroerdheid,6.33,5.55,költözött
pp22,lobbigheid,6.55,0,darabos
pp22,contentheid,6.66,4.5,tartalom
pp22,riantheid,6.38,4.53,nagylelkű
pp22,tembaarheid,6.74,0,szelíd
pp22,onattentheid,6.32,1.61,tapintatlan
pp22,bebrildheid,6.64,3.61,szemüveges
pp22,aftandsheid,6.88,4.2,rongyos
pp22,geurloosheid,6.38,2.56,szagtalan
pp22,ovaalheid,6.57,5.86,ovális
pp22,erkendheid,6.29,6.52,elismert
pp22,coulantheid,6.46,1.79,elnéző
pp22,labielheid,6.55,4.38,változékony
pp22,visrijkheid,6.56,3.04,halban gazdag
pp22,ondiepheid,6.63,5.66,sekély
pp22,onwelheid,6.4,3.97,indiszponált
pp22,blusbaarheid,6.74,0,tűzoltó
pp22,tilbaarheid,6.47,0,emelhető
pp22,gammelheid,6.35,4.91,rozoga
pp22,koketheid,6.77,4.79,kacér
pp22,ludiekheid,6.54,4.14,játékos
pp22,pipsheid,6.37,3.33,pip
pp22,banaalheid,6.42,5.74,banális
pp22,bezweetheid,6.42,4.75,izzadt
pp22,beschutheid,6.47,4.79,védett
pp22,antiekheid,6.63,6.75,antik
pp22,tactvolheid,6.49,4.75,tapintatos
pp22,jofelheid,6.71,3.33,vidám
pp22,pitloosheid,6.54,0,magtalan
pp22,summierheid,6.56,5.3,rövid
pp22,kalkrijkheid,6.46,3.14,meszes
pp22,onbelastheid,6.67,3.18,terheletlen
pp22,kortafheid,6.69,5.87,kurtán
pp22,saprijkheid,6.33,0,lédús
pp22,beuheid,6.5,5.07,beteg
pp22,dementheid,6.6,3.83,megbolondít
pp22,royaalheid,6.28,6.09,nagylelkű
pp23,riantheid,6.33,4.53,nagylelkű
pp23,beuheid,6.36,5.07,beteg
pp23,aftandsheid,7.17,4.2,rongyos
pp23,beschutheid,6.32,4.79,védett
pp23,tactvolheid,6.41,4.75,tapintatos
pp23,tembaarheid,7.39,0,szelíd
pp23,summierheid,7.45,5.3,rövid
pp23,tilbaarheid,6.8,0,emelhető
pp23,pitloosheid,6.86,0,magtalan
pp23,labielheid,6.53,4.38,változékony
pp23,contentheid,6.77,4.5,tartalom
pp23,saprijkheid,6.36,0,lédús
pp23,dementheid,6.41,3.83,megbolondít
pp23,enormheid,6.17,8.42,hatalmas
pp23,bebrildheid,7.21,3.61,szemüveges
pp23,royaalheid,6.46,6.09,nagylelkű
pp23,jofelheid,6.4,3.33,vidám
pp23,basaalheid,6.36,3.56,alapvető
pp23,kalkrijkheid,6.38,3.14,meszes
pp23,kortafheid,6.3,5.87,kurtán
pp23,ontroerdheid,6.28,5.55,költözött
pp23,lobbigheid,6.82,0,darabos
pp23,banaalheid,6.44,5.74,banális
pp23,erkendheid,6.17,6.52,elismert
pp23,coulantheid,6.43,1.79,elnéző
pp23,geurloosheid,6.83,2.56,szagtalan
pp23,antiekheid,6.31,6.75,antik
pp23,ludiekheid,6.68,4.14,játékos
pp23,ondiepheid,6.7,5.66,sekély
pp23,markantheid,6.28,5.16,meglepő
pp23,pipsheid,6.7,3.33,pip
pp23,onbelastheid,6.73,3.18,terheletlen
pp23,koketheid,6.56,4.79,kacér
pp23,onattentheid,6.86,1.61,tapintatlan
pp23,onwelheid,6.92,3.97,indiszponált
pp23,visrijkheid,6.73,3.04,halban gazdag
pp23,gammelheid,6.51,4.91,rozoga
pp24,koketheid,6.47,4.79,kacér
pp24,bezweetheid,6.57,4.75,izzadt
pp24,ondiepheid,6.93,5.66,sekély
pp24,saprijkheid,7.22,0,lédús
pp24,royaalheid,6.37,6.09,nagylelkű
pp24,antiekheid,6.65,6.75,antik
pp24,beschutheid,6.24,4.79,védett
pp24,gammelheid,6.45,4.91,rozoga
pp24,tactvolheid,6.57,4.75,tapintatos
pp24,onattentheid,6.8,1.61,tapintatlan
pp24,tembaarheid,6.46,0,szelíd
pp24,contentheid,6.36,4.5,tartalom
pp24,erkendheid,6.45,6.52,elismert
pp24,riantheid,6.46,4.53,nagylelkű
pp24,beuheid,6.8,5.07,beteg
pp24,dementheid,6.72,3.83,megbolondít
pp24,banaalheid,6.49,5.74,banális
pp24,kortafheid,7.42,5.87,kurtán
pp24,blusbaarheid,6.8,0,tűzoltó
pp24,basaalheid,6.43,3.56,alapvető
pp24,ludiekheid,6.6,4.14,játékos
pp24,ovaalheid,6.88,5.86,ovális
pp24,visrijkheid,6.56,3.04,halban gazdag
pp24,lobbigheid,6.54,0,darabos
pp24,labielheid,6.42,4.38,változékony
pp24,onbelastheid,6.56,3.18,terheletlen
pp24,pitloosheid,6.55,0,magtalan
pp24,jofelheid,6.35,3.33,vidám
pp24,kalkrijkheid,6.84,3.14,meszes
pp24,coulantheid,6.46,1.79,elnéző
pp24,ontroerdheid,6.8,5.55,költözött
pp24,bebrildheid,6.5,3.61,szemüveges
pp24,markantheid,6.57,5.16,meglepő
pp24,summierheid,6.46,5.3,rövid
pp24,enormheid,6.32,8.42,hatalmas
pp24,onwelheid,7.15,3.97,indiszponált
pp24,tilbaarheid,6.84,0,emelhető
pp24,geurloosheid,6.76,2.56,szagtalan
pp24,pipsheid,6.38,3.33,pip
pp24,aftandsheid,6.24,4.2,rongyos
pp25,enormheid,6.14,8.42,hatalmas
pp25,basaalheid,6.44,3.56,alapvető
pp25,markantheid,6.32,5.16,meglepő
pp25,ontroerdheid,6.32,5.55,költözött
pp25,lobbigheid,6.38,0,darabos
pp25,contentheid,6.55,4.5,tartalom
pp25,riantheid,6.27,4.53,nagylelkű
pp25,tembaarheid,6.33,0,szelíd
pp25,onattentheid,6.42,1.61,tapintatlan
pp25,aftandsheid,6.43,4.2,rongyos
pp25,geurloosheid,6.47,2.56,szagtalan
pp25,ovaalheid,6.44,5.86,ovális
pp25,erkendheid,6.18,6.52,elismert
pp25,coulantheid,6.22,1.79,elnéző
pp25,labielheid,6.22,4.38,változékony
pp25,visrijkheid,6.21,3.04,halban gazdag
pp25,ondiepheid,6.29,5.66,sekély
pp25,blusbaarheid,6.56,0,tűzoltó
pp25,tilbaarheid,6.33,0,emelhető
pp25,gammelheid,6.42,4.91,rozoga
pp25,ludiekheid,6.62,4.14,játékos
pp25,pipsheid,6.58,3.33,pip
pp25,banaalheid,6.23,5.74,banális
pp25,bezweetheid,6.35,4.75,izzadt
pp25,beschutheid,6.23,4.79,védett
pp25,antiekheid,6.37,6.75,antik
pp25,tactvolheid,6.32,4.75,tapintatos
pp25,jofelheid,6.43,3.33,vidám
pp25,pitloosheid,6.41,0,magtalan
pp25,summierheid,6.56,5.3,rövid
pp25,kalkrijkheid,6.66,3.14,meszes
pp25,onbelastheid,7.13,3.18,terheletlen
pp25,kortafheid,6.2,5.87,kurtán
pp25,saprijkheid,6.2,0,lédús
pp25,beuheid,6.51,5.07,beteg
pp25,dementheid,6.26,3.83,megbolondít
pp25,royaalheid,6.19,6.09,nagylelkű
pp28,enormheid,6.36,8.42,hatalmas
pp28,basaalheid,6.67,3.56,alapvető
pp28,markantheid,6.53,5.16,meglepő
pp28,ontroerdheid,6.58,5.55,költözött
pp28,lobbigheid,6.55,0,darabos
pp28,contentheid,6.88,4.5,tartalom
pp28,riantheid,7.05,4.53,nagylelkű
pp28,tembaarheid,6.61,0,szelíd
pp28,onattentheid,6.69,1.61,tapintatlan
pp28,bebrildheid,6.52,3.61,szemüveges
pp28,aftandsheid,6.66,4.2,rongyos
pp28,geurloosheid,6.38,2.56,szagtalan
