word,freq,log.freq,lemmafreq,log.lemmafreq,pos,syllable.count
egy,309165,12.641630393945507,4821074,15.388507282782506,NUM,1
teljes,308443,12.639292340264529,324671,12.690567640890078,ADJ,2
egész,306506,12.632992610023242,421042,12.950487870158883,ADJ,2
fontos,305188,12.628683259139763,513421,13.14885145036137,ADJ,2
azért,295854,12.59762136837849,295854,12.59762136837849,CONJ,2
három,294436,12.592816940969644,469567,13.059566272454388,NUM,2
másik,293179,12.58853862296434,355699,12.781840146574709,NOUN,2
mivel,293012,12.587968842791945,293012,12.587968842791945,CONJ,2
3,274749,12.523613232586815,295567,12.596650824476503,NUM,0
talán,268880,12.502020462398987,268880,12.502020462398987,ADV,2
gazdasági,268343,12.500021291928432,275799,12.527427618518956,ADJ,4
egyes,266534,12.49325709418777,288127,12.571156634140628,ADJ,2
éppen,259580,12.46682021924175,259580,12.46682021924175,ADV,2
viszont,259460,12.466357827125004,259460,12.466357827125004,CONJ,2
inkább,258271,12.461764700229601,258271,12.461764700229601,ADV,2
mely,254209,12.445912042303503,798098,13.589986675909325,NOUN,1
különböző,250277,12.430323583465425,263533,12.481933876313683,ADJ,4
miért,249710,12.428055523523632,251769,12.436267279431076,ADV,2
további,243412,12.402510759881498,310653,12.646431812615658,ADJ,3
következő,242807,12.40002216806491,308801,12.640452335469483,ADJ,4
törvény,239890,12.387935763923968,415265,12.936672149640708,NOUN,2
szakmai,239235,12.385201611424964,253441,12.442886333307484,ADJ,3
jelenleg,238334,12.38142833020692,238334,12.38142833020692,ADV,3
éves,237265,12.37693293892038,262726,12.478866942987853,ADJ,2
mind,236965,12.37566772988671,284993,12.560219897545643,CONJ,1
egyéb,233993,12.363046479362476,261319,12.473497162221511,NOUN,2
adott,233978,12.362982372825938,238209,12.380903718564879,ADJ,2
szó,233862,12.362486476782943,533484,13.187184358646288,NOUN,1
egyre,232277,12.355685903955706,232277,12.355685903955706,ADV,2
igen,229260,12.342612009669,365970,12.810306641810893,ADV,2
általában,226677,12.331281375680362,226677,12.331281375680362,ADV,4
hogyan,225474,12.32596013194258,225474,12.32596013194258,ADV,2
bár,223060,12.315196072548527,228281,12.338332605226295,CONJ,1
évi,219588,12.299508342315688,225026,12.323971230066084,ADJ,2
ahogy,213639,12.272042953671361,213639,12.272042953671361,ADV,2
nemzeti,213485,12.271321851571393,215222,12.279425332527858,ADJ,3
nemzetközi,212883,12.268497997998722,220383,12.303122220799645,ADJ,4
helyi,211523,12.262089018600856,217678,12.290772185616316,ADJ,2
ugyanis,210668,12.25803871355478,210668,12.25803871355478,CONJ,3
szóló,210369,12.256618410587281,215898,12.282561352912053,ADJ,2
legalább,210229,12.25595269175281,210595,12.257692136709766,ADV,3
politikai,208048,12.245524101291101,214490,12.276018396216841,ADJ,5
valami,206086,12.236048836381128,369387,12.819600153924442,NOUN,3
általános,205766,12.234494879792868,230910,12.349783303196473,ADJ,4
országos,204472,12.228186325775285,214615,12.27660100421971,ADJ,3
rendszer,202375,12.217877690979936,501477,13.125313022919652,NOUN,2
hát,199210,12.20211482367583,237633,12.378482745715347,CONJ,1
található,196312,12.187460509318193,216071,12.28336233635878,ADJ,4
idő,193386,12.172443470549696,742564,13.517864341230586,NOUN,2
vonatkozó,193014,12.17051800411631,233635,12.361515347480124,ADJ,4
meg,190900,12.15950500971384,2797680,14.844301060261824,CONJ,1
emberi,189995,12.154753035006882,192976,12.170321107823025,ADJ,3
teljesen,188983,12.14941234290635,188983,12.14941234290635,ADV,3
elsősorban,187393,12.140963294833739,187423,12.141123373379287,ADV,4
közös,186062,12.13383523048546,235987,12.371531997744764,ADJ,2
jelentős,185802,12.13243686956659,275136,12.525020799855954,ADJ,3
nap,185493,12.130772424468555,796301,13.58773253405286,NOUN,1
úr,182912,12.116760441849484,290337,12.578797596248666,NOUN,1
kapcsolatos,182459,12.114280769231152,199034,12.201230943384058,ADJ,4
szinte,181974,12.11161909871102,181974,12.11161909871102,ADV,2
először,181436,12.108658253423132,181436,12.108658253423132,ADV,3
tovább,181275,12.107770494239793,233504,12.360954486565346,ADV,2
kormány,180512,12.103552536539702,251479,12.43511476602973,NOUN,2
mindenki,179764,12.099400158503052,308483,12.639422015460763,NOUN,3
megyei,176177,12.079244450479303,176994,12.08387111267632,ADJ,3
aztán,174324,12.068670915660883,230753,12.349103153364009,ADV,2
élet,174239,12.068183198940034,660574,13.400864433005024,NOUN,2
míg,174195,12.067930640347967,174195,12.067930640347967,CONJ,1
mikor,173460,12.063702304238447,173475,12.06378877576775,ADV,2
4,172835,12.060092661138658,195958,12.185655629535905,NUM,0
program,172456,12.05789741045327,472642,13.06609350986664,NOUN,2
város,171466,12.052140275204994,337930,12.73059405242515,NOUN,2
társadalmi,171166,12.050389124835718,174814,12.071477830529597,ADJ,4
újra,170871,12.048664164827604,174116,12.067477022739826,ADV,2
világ,169183,12.03873624829329,409998,12.923907560619812,NOUN,2
eddig,168336,12.03371726104807,168336,12.03371726104807,ADV,2
hosszú,167815,12.030617461153497,229961,12.345665008310135,ADJ,2
fórum,167634,12.029538310417822,416906,12.940616055705839,NOUN,2
szükség,167425,12.02829076877825,261101,12.472662584630097,NOUN,2
jobb,166992,12.025701186059832,200746,12.209795706330297,ADJ,1
képes,166326,12.021704996917281,230138,12.3464344079773,ADJ,2
meghatározott,165598,12.01731844356568,175278,12.074128563889325,ADJ,5
sőt,165458,12.01647266515752,165458,12.01647266515752,CONJ,1
ország,165361,12.015886241749072,455688,13.029563643791361,NOUN,2
állami,165038,12.013931029397348,180090,12.101212004913998,ADJ,3
elég,164907,12.013136957616394,191405,12.16214688096177,ADV,2
bizonyos,163685,12.005699128128471,167035,12.02595865027822,ADJ,3
valaki,161940,11.994981175240106,221142,12.306560308099993,NOUN,3
5,161829,11.994295501167857,180644,12.104283522628139,NUM,0
10,155340,11.953371541973638,176829,12.08293844288402,NUM,0
ám,154712,11.949320603042134,154712,11.949320603042134,CONJ,1
egyszer,154670,11.949049094032185,154670,11.949049094032185,ADV,2
mai,151742,11.929936989245432,156267,11.959321361680358,ADJ,2
se,151473,11.928162670227096,151473,11.928162670227096,ADV,1
hasonló,151468,11.928129660499126,242486,12.398699255734359,ADJ,3
igaz,150518,11.921837957348302,209543,12.252684247879966,ADJ,2
fő,149483,11.914937952972554,372274,12.827385421268511,ADJ,1
álló,148741,11.909961817375743,155867,11.956758358489637,ADJ,2
szép,148077,11.90548768772287,275664,12.526938011772188,ADJ,1
hazai,148041,11.905244541408377,152158,11.932674733633949,ADJ,3
egyébként,147868,11.904075262882136,147868,11.904075262882136,CONJ,3
belső,146729,11.896342626939415,151020,11.925167557357417,ADJ,2
összes,146695,11.896110880387312,147828,11.903804714749974,ADJ,2
önkormányzat,145916,11.890786392651734,292314,12.585583845949623,NOUN,4
lehetőség,145884,11.890567064343795,615387,13.330006617175066,NOUN,4
nemcsak,145721,11.889449113574935,160471,11.985868519868387,CONJ,2
elmúlt,145577,11.88846043523365,145685,11.889202035613717,ADJ,2
négy,144666,11.882182916108883,220714,12.304623024759449,NUM,1
később,144594,11.881685094069978,144594,11.881685094069978,ADV,2
csupán,142153,11.864659221323562,142153,11.864659221323562,ADV,2
biztos,141886,11.862779197251921,247941,12.420946093617852,ADJ,2
jog,141824,11.862342131226846,493462,13.109201133877772,NOUN,1
különösen,141522,11.860210461011931,141522,11.860210461011931,ADV,4
akár,141128,11.857422558976241,262944,12.479696360730914,ADV,2
számos,140971,11.856309474447691,143321,11.872842148787795,NUM,2
munka,140806,11.855138335434507,570479,13.254231637790818,NOUN,2
persze,140669,11.854164891890191,213318,12.270539289084613,CONJ,2
ugyanakkor,140349,11.851887456720114,140361,11.851972954208676,ADV,4
lehetséges,139783,11.847846499098704,144483,11.880917132554842,ADJ,4
továbbá,136810,11.82634838091416,136810,11.82634838091416,CONJ,3
túl,136623,11.824980586762361,236601,12.374130457060179,ADV,1
jobban,136593,11.824760980296265,136593,11.824760980296265,ADV,2
korábban,136318,11.822745670594015,136318,11.822745670594015,ADV,3
iskola,135885,11.819564218771498,354074,12.777261209818212,NOUN,3
kérdés,133771,11.803884661779371,573154,13.258909720494637,NOUN,2
mintha,133318,11.800492530809002,133318,11.800492530809002,CONJ,2
valóban,132641,11.795401509544563,132641,11.795401509544563,ADV,3
mintegy,132488,11.794247354269327,132488,11.794247354269327,ADV,2
forint,132095,11.791276639680532,290870,12.580631710942455,NOUN,2
azaz,131946,11.790148026958903,131946,11.790148026958903,CONJ,2
című,131642,11.787841395892336,132503,11.794360565661533,ADJ,2
végül,131366,11.78574259964801,131366,11.78574259964801,ADV,2
régi,131332,11.785483747276162,159268,11.978343596874335,ADJ,2
természetes,131167,11.784226599464317,340661,12.73864312688845,ADJ,4
magas,130978,11.78278464914867,284374,12.558045552197653,ADJ,2
gyakran,130860,11.78188332842373,130860,11.78188332842373,ADV,2
szociális,129861,11.774219926633474,134168,11.806848025011464,ADJ,4
személyes,128906,11.766838735555371,167965,12.031510903347659,ADJ,3
külön,128733,11.765495770973137,166594,12.023314993660582,ADJ,2
mégis,127984,11.759660535088603,180695,12.104565806025938,ADV,2
jogi,127761,11.757916610034217,134150,11.80671385585377,ADJ,2
esetleg,127202,11.75353165303499,127202,11.75353165303499,ADV,3
rövid,126460,11.747681331612604,184382,12.124764971457221,ADJ,2
sokkal,126291,11.746344046892183,126291,11.746344046892183,ADV,2
szervezet,125601,11.74086549476798,387176,12.866634648992429,NOUN,3
szintén,124681,11.733513754381672,124681,11.733513754381672,ADV,2
dolog,124557,11.732518721439417,400491,12.900446573327942,NOUN,2
október,123224,11.721759116304293,143028,11.87079569427071,NOUN,3
együtt,122849,11.718711237908055,266702,12.493887209204605,ADV,2
érdemes,122722,11.717676913730344,128086,11.760457192294794,ADJ,3
oktatási,121972,11.711546789177635,122016,11.71190746265729,ADJ,4
akár,121816,11.71026698852057,262944,12.479696360730914,CONJ,2
kulturális,121656,11.708952668820295,122940,11.719451710461,ADJ,4
rossz,121202,11.705213854131365,182151,12.112591292402424,ADJ,1
sor,119693,11.692685410303906,622251,13.34109882729966,NOUN,1
élő,118810,11.685280857452334,156323,11.959679658494709,ADJ,2
olyan,118661,11.684025967216867,1060194,13.873962468210264,ADV,2
vagyis,117763,11.676429409181685,117763,11.676429409181685,CONJ,2
hol,117169,11.671372616017946,117169,11.671372616017946,ADV,1
nehéz,116525,11.665861121240942,218255,12.293419382946876,ADJ,2
egészségügyi,116494,11.665595048515689,117607,11.675103836484716,ADJ,5
ekkor,115416,11.656298271625609,115416,11.656298271625609,ADV,2
ismét,114539,11.648670655335264,114539,11.648670655335264,ADV,2
korábbi,113785,11.64206598179332,130047,11.775651202559976,ADJ,3
minél,113301,11.63780327310248,114263,11.646258087841353,ADV,2
óra,113191,11.636831936290152,356603,12.784378397163227,NOUN,2
tudományos,111943,11.625745092157702,118185,11.680006472347898,ADJ,4
külföldi,111178,11.618887799498744,127137,11.753020524176144,ADJ,3
egyszerű,111021,11.617474651589642,146842,11.897112457784973,ADJ,3
többi,110748,11.615012629053577,137450,11.831015493593391,ADJ,2
amíg,110601,11.613684409620816,110601,11.613684409620816,CONJ,2
pénzügyi,110419,11.612037499466652,110511,11.612870342496732,ADJ,3
angol,109949,11.607771900898346,131303,11.785262908468557,ADJ,2
szabad,109730,11.605778081984845,240668,12.391173669357713,ADJ,2
közel,109427,11.60301293925099,154613,11.948680499569216,ADV,2
fél,108414,11.593712510939886,338139,12.731212332531642,NUM,1
igazán,108286,11.592531154088142,109581,11.604419280803642,ADV,3
út,107981,11.58971056470365,382897,12.855521302490843,NOUN,1
német,107569,11.585887781110646,132300,11.792827350103048,ADJ,2
központi,107468,11.584948407817427,107723,11.587318396519166,ADJ,3
egyéni,106932,11.57994839740072,109122,11.600221801355072,ADJ,3
6,106841,11.579097026970436,116745,11.667747348061598,NUM,0
egészen,106711,11.577879524759654,106711,11.577879524759654,ADV,3
kötelező,105618,11.567584090274027,126463,11.747705054247557,ADJ,4
előző,105174,11.563371400450603,114725,11.650293239263034,ADJ,3
oldal,104786,11.559675454159176,487728,13.097513152393772,NOUN,2
csoport,104400,11.555984954430675,338414,12.732025277016835,NOUN,2
férfi,104151,11.55359704817927,194655,12.17898403983944,NOUN,2
jelenlegi,103538,11.547693974063035,108806,11.59732175894226,ADJ,4
személy,103517,11.547491129407538,292109,12.584882299267143,NOUN,2
tanár,103452,11.546863015997925,207561,12.243180551354055,NOUN,2
eredeti,103075,11.5432121575751,111563,11.62234473273877,ADJ,4
támogatás,102403,11.5366712880334,433225,12.979012502508446,NOUN,4
igazi,102114,11.533845115222732,105618,11.567584090274027,ADJ,3
vezető,101605,11.528848025514044,309706,12.643378739360971,ADJ,3
öt,101445,11.52727205867715,138530,11.838842187651924,NUM,1
elnök,100976,11.52263814382402,268321,12.499939303943354,NOUN,2
külső,100163,11.514554137962048,113274,11.637564941423099,ADJ,2
önkormányzati,97826,11.49094566936217,99753,11.510452409487831,ADJ,5
azonos,97499,11.487597400523084,105066,11.562344003099955,ADJ,3
pontos,97402,11.486602023300712,129091,11.768272861004178,ADJ,2
egyetlen,97146,11.483970280514807,175421,12.074944078093388,ADJ,3
rendelkező,96807,11.48047458469972,109062,11.599671806841155,ADJ,4
műszaki,96242,11.474621131812514,97426,11.48684839446011,ADJ,3
társadalom,95820,11.470226710437114,163046,12.001787648564504,NOUN,4
eljárás,95734,11.46932879125215,234424,12.364886720522088,NOUN,3
alapvető,95488,11.466755864123378,100861,11.52149861031486,ADJ,4
30,95441,11.466263534503998,123927,11.727447961552171,NUM,0
helyzet,94611,11.45752902734985,363593,12.803790389174948,NOUN,2
cég,94520,11.456566731300844,229888,12.345347512781762,NOUN,1
intézmény,93537,11.44611235892464,357908,12.788031249116763,NOUN,3
speciális,93528,11.446016135686655,98263,11.49540283650021,ADJ,4
addig,93411,11.444764390301508,93411,11.444764390301508,CONJ,2
előre,93320,11.443789726135366,102494,11.5375595392619,ADV,3
szerződés,93304,11.443618258370886,220412,12.303253801239721,NOUN,3
20,93219,11.442706842557458,116038,11.661673002650751,NUM,0
egyszerűen,93136,11.441816069511516,93136,11.441816069511516,ADV,4
budapesti,93102,11.441450945311539,93502,11.44573810542234,ADJ,4
számú,92912,11.439408087611831,93257,11.443114401712803,ADJ,2
utóbbi,92729,11.437436539739576,145147,11.885502300964985,ADJ,3
amerikai,92719,11.437328692795854,102950,11.541998712455936,ADJ,5
fiatal,92611,11.436163204076,219932,12.301073686646967,ADJ,3
annyira,92420,11.434098684424258,92420,11.434098684424258,ADV,3
idén,91491,11.423995885770148,91491,11.423995885770148,ADV,2
egyáltalán,91458,11.423635129489897,91458,11.423635129489897,ADV,4
valamennyi,91204,11.42085403474974,95303,11.464816568685123,NUM,4
kép,90798,11.416392537915081,342206,12.743168173892597,NOUN,1
kevés,90635,11.41459573089702,238161,12.380702194538754,NUM,2
8,90403,11.412032731670338,108920,11.598368946787696,NUM,0
anyagi,90310,11.411003475244845,97469,11.48728965771158,ADJ,3
pontosan,90284,11.410715536551647,90284,11.410715536551647,ADV,3
komoly,90115,11.408841911426906,149282,11.913592413633438,ADJ,2
kedves,89599,11.403099438186455,114163,11.645382530712231,ADJ,2
felhasználó,89160,11.398187787499806,308860,12.640643378776993,NOUN,4
rendelet,88510,11.390870818962922,149646,11.916027783889204,NOUN,3
alig,87995,11.385035273664311,87995,11.385035273664311,ADV,2
továbbra,87049,11.374226457479576,87049,11.374226457479576,ADV,3
ide,87043,11.374157528407563,116134,11.662499975804026,ADV,2
látható,86876,11.372237093592211,118393,11.681764878062669,ADJ,3
tíz,86793,11.371281252235155,106133,11.572448303575806,NUM,1
könyv,86656,11.369701536831892,240362,12.389901399265302,NOUN,1
erős,86018,11.36231185566055,172808,12.059936430576748,ADJ,2
alkalmas,84937,11.34966508419479,131312,11.785331449869492,ADJ,3
kizárólag,84894,11.349158698424008,84894,11.349158698424008,ADV,4
ki,84363,11.342884195838069,1308689,14.084536430720558,NOUN,1
gyors,84227,11.341270813911494,202688,12.219423129898312,ADJ,1
pár,84084,11.339571578158534,118329,11.681224159400616,NUM,1
állam,84022,11.33883394829629,184177,12.123652530729192,NOUN,2
társaság,84003,11.338607791473425,163826,12.006560167963537,NOUN,3
érdekes,83865,11.336963642128856,103022,11.54269783663721,ADJ,3
önálló,83831,11.336558146464489,110572,11.613422171461853,ADJ,3
vélemény,83524,11.332889294689952,325607,12.693446411650926,NOUN,3
hatalmas,83173,11.328678054910771,91276,11.421643162366315,ADJ,3
miniszter,83033,11.326993398122077,112335,11.629240757351576,NOUN,3
iskolai,83001,11.326607934898927,83138,11.328257156707805,ADJ,4
kereskedelmi,82766,11.323772628023256,83273,11.329879645961704,ADJ,5
egyaránt,82761,11.323712214918427,82761,11.323712214918427,ADV,3
folyamatos,82510,11.32067477709839,188105,12.144755596541366,ADJ,4
feladat,81731,11.311188645844599,492528,13.1073065907701,NOUN,3
gyakorlati,81687,11.310650149460317,81964,11.314035405456723,ADJ,4
azonnal,81498,11.308333759050546,81498,11.308333759050546,ADV,3
polgári,81345,11.306454647943271,82377,11.319061550720999,ADJ,3
néha,81262,11.30543378159424,81262,11.30543378159424,ADV,2
köteles,81052,11.30284620298522,93981,11.450847913162018,ADJ,3
jövő,80582,11.29703057849193,202773,12.219842405741094,ADJ,2
pont,80557,11.296720287374317,364693,12.806811182754602,NOUN,1
egyedül,79959,11.289269282283007,79963,11.289319306669904,ADV,3
valamilyen,79732,11.286426289842657,81104,11.303487560712131,ADV,4
egyetemi,79716,11.28622559745324,79798,11.287253720467184,ADJ,4
rendkívül,79488,11.283361345853097,79521,11.283776416704102,ADV,3
gyermek,79478,11.283235532785985,274254,12.521809963263566,NOUN,2
említett,79443,11.282795062356453,81560,11.309094224688392,ADJ,3
közvetlenül,79302,11.281018627985862,79302,11.281018627985862,ADV,4
jellegű,78971,11.276835975448048,80589,11.297117442754166,ADJ,3
jellemző,78854,11.27535332033722,143193,11.871948649632321,ADJ,3
miközben,78814,11.274845925040037,78852,11.275327956685867,ADV,3
állandó,78654,11.272813765425864,116665,11.667061858981159,ADJ,3
alábbi,78578,11.271847041019651,117504,11.674227654540108,ADJ,3
hagyományos,78519,11.271095912700536,92292,11.432712742845053,ADJ,4
részben,78157,11.266474903175522,78159,11.26650049236665,ADV,2
szeptember,78144,11.266308557470376,108426,11.59382319162622,NOUN,3
főleg,77925,11.263502104635538,77925,11.263502104635538,ADV,2
üzleti,77894,11.263104207069658,78656,11.272839192925707,ADJ,3
pályázati,77648,11.259941071644997,77658,11.260069849670494,ADJ,4
családi,77508,11.258136435820473,77980,11.264207662536588,ADJ,3
valószínűleg,77141,11.253390195121284,77141,11.253390195121284,ADV,5
közben,76998,11.251534726472515,151921,11.931115927876299,ADV,2
egyetlen,76997,11.251521739037859,175421,12.074944078093388,NUM,3
napi,76938,11.25075518168717,77092,11.252754792818942,ADJ,2
víz,76873,11.249909988510227,212533,12.266852549407373,NOUN,1
nő,76671,11.24727881937906,298749,12.60735903494192,NOUN,1
miután,76498,11.245019875682022,76498,11.245019875682022,CONJ,3
tényleg,75801,11.235866764155578,75801,11.235866764155578,ADV,2
e-mail,75703,11.234573068759179,79956,11.289231762350537,NOUN,3
szellemi,75545,11.232483784173942,76746,11.248256546827449,ADJ,3
közvetlen,75489,11.231742229258277,78217,11.267242294211684,ADJ,3
50,75245,11.228504735220818,80221,11.29254060496562,NUM,0
jelen,74964,11.22476327728157,148926,11.911204817263668,ADV,2
mindkét,74953,11.224616529414154,101260,11.525446745523901,NUM,2
probléma,74880,11.223642111151474,304619,12.626817094385563,NOUN,3
képzés,74658,11.220672964003686,217989,12.292199881782546,NOUN,2
tevékenység,74618,11.22013704395013,345697,12.753317947827513,NOUN,4
megint,74397,11.217170897427561,74883,11.223682174451493,ADV,2
bármely,74269,11.215448916185998,74297,11.215825853040078,NOUN,2
egymás,74199,11.214505951975706,322265,12.683129467429527,NOUN,2
előbb,74108,11.213278767669904,74108,11.213278767669904,ADV,2
egyház,74099,11.213157315916463,142352,11.86605814248455,NOUN,2
utoljára,73971,11.21142840348472,73971,11.21142840348472,ADV,4
annál,73591,11.206278014631144,73591,11.206278014631144,ADV,2
költségvetési,73303,11.202356814731635,73380,11.203406697909273,ADJ,5
ház,73248,11.201606222752293,227547,12.335112089442257,NOUN,1
ismert,72540,11.191893412836894,103777,11.549999645199994,ADJ,2
összesen,72395,11.189892515215522,72395,11.189892515215522,ADV,3
január,72312,11.188745369478246,95058,11.462242510603097,NOUN,3
este,71429,11.176459228331016,107006,11.580640186638268,ADV,2
válasz,71364,11.175548819494594,210854,12.258921229827108,NOUN,2
annyi,71339,11.175198441433086,140058,11.849811901513094,NUM,2
hat,71219,11.173514915733474,134591,11.809995829172669,NUM,1
család,71077,11.171519075412782,218999,12.296822442578167,NOUN,2
Úgyhogy,71026,11.170801286172727,71026,11.170801286172727,CONJ,2
7,70944,11.169646112416038,87232,11.376326515056205,NUM,0
helyes,70757,11.167006750540581,102896,11.541474048374644,ADJ,2
fejlesztési,70713,11.166384710512041,70727,11.166582674313592,ADJ,4
leginkább,70685,11.165988665301134,70685,11.165988665301134,ADV,3
század,70603,11.164827915496382,148126,11.905818541903598,NOUN,2
hivatalos,70595,11.164714599443625,88859,11.394806122769138,ADJ,4
hős,70459,11.162786259344898,182041,12.111987215413667,NOUN,1
történelmi,70357,11.161337560080053,73060,11.199036300349274,ADJ,4
ingyenes,70057,11.157064475395034,85944,11.361451200346378,ADJ,3
ilyenkor,69956,11.155621751969083,69956,11.155621751969083,ADV,3
párt,69493,11.148981307055882,150478,11.921572173083824,NOUN,1
érvényes,69415,11.147858261468903,82574,11.321450139982815,ADJ,3
egyszerre,69304,11.146257903569976,69304,11.146257903569976,ADV,3
pályázat,68863,11.1398743026005,241962,12.396535968015751,NOUN,3
amint,68779,11.138653744770357,71147,11.172503438187732,ADV,2
információs,68506,11.134676611655303,68557,11.135420795021401,ADJ,5
szavazás,68442,11.133741950255953,157276,11.965757502707637,NOUN,3
városi,68391,11.132996516006004,69368,11.147180945056997,ADJ,3
legfeljebb,68234,11.130698253329243,68287,11.13147469069291,ADV,3
érintett,68131,11.129187601481807,96717,11.479544467437899,ADJ,3
várható,67869,11.125334655538866,108232,11.592032350283196,ADJ,3
civil,67582,11.121096954384972,82892,11.325293834657378,ADJ,2
kevésbé,67109,11.11407344213231,67109,11.11407344213231,ADV,3
vajon,67060,11.113343020020219,67060,11.113343020020219,CONJ,2
szívesen,67059,11.113328107889947,67059,11.113328107889947,ADV,3
május,67018,11.112716519007767,87757,11.382326910226261,NOUN,2
téma,66998,11.112418047181292,347268,12.75785209512629,NOUN,2
terület,66896,11.110894453596346,485759,13.093467895117453,NOUN,3
fehér,66817,11.109712818165356,82033,11.314876884313916,ADJ,2
regionális,66726,11.108349961046898,67472,11.11946797598634,ADJ,5
személyi,66573,11.106054368924086,67208,11.115547567044683,ADJ,3
sikeres,66512,11.105137661492419,106901,11.579658451506333,ADJ,3
közösségi,66489,11.104791799427783,66868,11.11047580582252,ADJ,4
szereplő,66483,11.104701554864958,117040,11.670271035694006,ADJ,3
bármilyen,66372,11.103030559782677,68018,11.127527655012177,ADV,3
föld,66290,11.101794335235438,188169,12.145095774181156,NOUN,1
széles,65986,11.097197877295555,97117,11.483671716195143,ADJ,2
